mainKey,name,grade,isGodrAyed,main_category,sub_category,main_category_id,sub_category_id
45297,Destruction Spirit Stone,1,false,Alchemy Stone,Spirit Stone,45,4
45298,Destruction Spirit Stone,2,false,Alchemy Stone,Spirit Stone,45,4
45299,Guardian Spirit Stone,1,false,Alchemy Stone,Spirit Stone,45,4
45300,Guardian Spirit Stone,2,false,Alchemy Stone,Spirit Stone,45,4
45301,Life Spirit Stone,1,false,Alchemy Stone,Spirit Stone,45,4
45302,Life Spirit Stone,2,false,Alchemy Stone,Spirit Stone,45,4
45335,Sharp Spirit Stone of Destruction,2,false,Alchemy Stone,Spirit Stone,45,4
45336,Sharp Spirit Stone of Destruction,3,false,Alchemy Stone,Spirit Stone,45,4
45337,Resplendent Spirit Stone of Destruction,3,false,Alchemy Stone,Spirit Stone,45,4
45338,Splendid Spirit Stone of Destruction,3,false,Alchemy Stone,Spirit Stone,45,4
45339,Shining Spirit Stone of Destruction,3,false,Alchemy Stone,Spirit Stone,45,4
45341,Sharp Spirit Stone of Protection,2,false,Alchemy Stone,Spirit Stone,45,4
45342,Sharp Spirit Stone of Protection,3,false,Alchemy Stone,Spirit Stone,45,4
45343,Resplendent Spirit Stone of Protection,3,false,Alchemy Stone,Spirit Stone,45,4
45344,Splendid Spirit Stone of Protection,3,false,Alchemy Stone,Spirit Stone,45,4
