mainKey,sumCount,name,grade,isGodrAyed,minPrice,main_category,sub_category,main_category_id,sub_category_id
4906,5157,Grade 1 Weapon Reform Stone,1,false,353000,Enhancement/Upgrade,Upgrade,30,2
4907,3052,Grade 1 Armor Reform Stone,1,false,361000,Enhancement/Upgrade,Upgrade,30,2
4908,133,Grade 2 Weapon Reform Stone,2,false,397000,Enhancement/Upgrade,Upgrade,30,2
4909,582,Grade 2 Armor Reform Stone,2,false,840000,Enhancement/Upgrade,Upgrade,30,2
4910,1281,Grade 3 Weapon Reform Stone,3,false,640000,Enhancement/Upgrade,Upgrade,30,2
4911,1494,Grade 3 Armor Reform Stone,3,false,635000,Enhancement/Upgrade,Upgrade,30,2
4912,0,Ultimate Weapon Reform Stone,4,false,8500000,Enhancement/Upgrade,Upgrade,30,2
4913,63,Ultimate Armor Reform Stone,4,false,8650000,Enhancement/Upgrade,Upgrade,30,2
8141,1470,Cup of Arid Moonlight,4,false,270000000,Enhancement/Upgrade,Upgrade,30,2
8148,0,Cup of a Lonely Cloud,4,false,1870000000,Enhancement/Upgrade,Upgrade,30,2
8149,0,Cup of Dwindling Starlight,4,false,1870000000,Enhancement/Upgrade,Upgrade,30,2
8181,0,Cup of Lone Tide,4,false,1870000000,Enhancement/Upgrade,Upgrade,30,2
8182,0,Cup of Tragic Nightfall,4,false,1870000000,Enhancement/Upgrade,Upgrade,30,2
8417,0,Cup of Earth's Sorrows,4,false,1870000000,Enhancement/Upgrade,Upgrade,30,2
8421,11,Blessed Soul Fragment,4,false,8650000000,Enhancement/Upgrade,Upgrade,30,2
8432,7,Exalted Soul Fragment,4,false,4490000000,Enhancement/Upgrade,Upgrade,30,2
9771,0,Inverted Heart of Garmoth,4,false,8500000000,Enhancement/Upgrade,Upgrade,30,2
820018,0,Gauche Rawr-Rawr's Heart,3,false,466000000,Enhancement/Upgrade,Upgrade,30,2
