mainKey,sumCount,name,grade,isGodrAyed,minPrice,main_category,sub_category,main_category_id,sub_category_id
4001,22461,Iron Ore,0,false,1440,Material,Ore/Gem,25,1
4002,221,Lead Ore,0,false,940,Material,Ore/Gem,25,1
4003,28045,Copper Ore,0,false,1150,Material,Ore/Gem,25,1
4004,0,Tin Ore,0,false,2800,Material,Ore/Gem,25,1
4005,355,Zinc Ore,0,false,4370,Material,Ore/Gem,25,1
4006,0,Rough Stone,0,false,23300,Material,Ore/Gem,25,1
4007,28347,Coal,0,false,1090,Material,Ore/Gem,25,1
4008,0,Vanadium Ore,0,false,5500,Material,Ore/Gem,25,1
4009,0,Titanium Ore,0,false,6000,Material,Ore/Gem,25,1
4010,31616,Sulfur,0,false,860,Material,Ore/Gem,25,1
4011,0,Noc Ore,0,false,4350,Material,Ore/Gem,25,1
4013,0,Nickel Ore,0,false,4750,Material,Ore/Gem,25,1
4015,946,Quartz,0,false,985,Material,Ore/Gem,25,1
4051,33,Melted Iron Shard,0,false,6150,Material,Ore/Gem,25,1
4052,53777,Iron Ingot,0,false,24200,Material,Ore/Gem,25,1
4053,10274,Pure Iron Crystal,0,false,398000,Material,Ore/Gem,25,1
4054,4730,Melted Lead Shard,0,false,2180,Material,Ore/Gem,25,1
4055,23526,Lead Ingot,0,false,26500,Material,Ore/Gem,25,1
4056,23,Pure Lead Crystal,0,false,428000,Material,Ore/Gem,25,1
4057,2,Melted Copper Shard,0,false,3550,Material,Ore/Gem,25,1
4058,22690,Copper Ingot,0,false,21500,Material,Ore/Gem,25,1
4059,1895,Pure Copper Crystal,0,false,414000,Material,Ore/Gem,25,1
4060,10505,Melted Tin Shard,0,false,9250,Material,Ore/Gem,25,1
4061,54080,Tin Ingot,0,false,39800,Material,Ore/Gem,25,1
4062,0,Pure Tin Crystal,0,false,452000,Material,Ore/Gem,25,1
4063,0,Melted Zinc Shard,0,false,9100,Material,Ore/Gem,25,1
4064,19,Zinc Ingot,0,false,43200,Material,Ore/Gem,25,1
4065,148,Pure Zinc Crystal,0,false,430000,Material,Ore/Gem,25,1
4066,39332,Brass Ingot,0,false,27900,Material,Ore/Gem,25,1
4067,14032,Bronze Ingot,0,false,26900,Material,Ore/Gem,25,1
4068,0,Polished Stone,0,false,74500,Material,Ore/Gem,25,1
