mainKey,name,grade,isGodrAyed,main_category,sub_category,main_category_id,sub_category_id
2814,Xian Workshop Chandelier (White),1,false,Furniture,Chandelier,80,5
2846,Duvencrune Sunset Chandelier,1,false,Furniture,Chandelier,80,5
3085,Griffon Chandelier,1,false,Furniture,Chandelier,80,5
3245,Morning Muntin Lamp (Ceiling),2,false,Furniture,Chandelier,80,5
3246,Morning Muntin Wall Lamp,2,false,Furniture,Chandelier,80,5
3247,Oil Candle Lamp,2,false,Furniture,Chandelier,80,5
3248,Wooden Candle Stand,2,false,Furniture,Chandelier,80,5
3249,Morning Muntin Floor Lamp,2,false,Furniture,Chandelier,80,5
3250,Hanji Wish Lantern Lamp (Ceiling),2,false,Furniture,Chandelier,80,5
3251,Three Layer Hanji Wish Lantern Lamp (Ceiling),2,false,Furniture,Chandelier,80,5
