mainKey,sumCount,name,grade,isGodrAyed,minPrice,main_category,sub_category,main_category_id,sub_category_id
46616,0,[Mediahn Dye] True Red,3,false,20900000,Dye,Mediah,60,7
46628,0,[Mediahn Dye] True Orange,3,false,20900000,Dye,Mediah,60,7
46640,0,[Mediahn Dye] True Yellow,3,false,20900000,Dye,Mediah,60,7
46652,0,[Mediahn Dye] True Lime,3,false,20900000,Dye,Mediah,60,7
46664,0,[Mediahn Dye] True Mint,3,false,20900000,Dye,Mediah,60,7
46676,0,[Mediahn Dye] True Aqua,3,false,20900000,Dye,Mediah,60,7
46688,0,[Mediahn Dye] True Sky,3,false,20900000,Dye,Mediah,60,7
46700,0,[Mediahn Dye] True Indigo,3,false,20900000,Dye,Mediah,60,7
46712,0,[Mediahn Dye] True Purple,3,false,20900000,Dye,Mediah,60,7
46724,0,[Mediahn Dye] True Deep Pink,3,false,20900000,Dye,Mediah,60,7
46732,0,[Mediahn Dye] Black,3,false,20900000,Dye,Mediah,60,7
