mainKey,sumCount,name,grade,isGodrAyed,minPrice,main_category,sub_category,main_category_id,sub_category_id
504,0,Melee AP Enhancer,0,false,93500,Consumables,Offensive Elixir,35,1
505,0,Ranged AP Enhancer,0,false,93500,Consumables,Offensive Elixir,35,1
506,0,Magic AP Enhancer,0,false,93500,Consumables,Offensive Elixir,35,1
523,0,Accuracy Enhancer,0,false,93500,Consumables,Offensive Elixir,35,1
607,4375,[Party] Elixir of Human Hunt,1,false,122000,Consumables,Offensive Elixir,35,1
608,0,[Party] Elixir of Perfect Human Hunt,2,false,211000,Consumables,Offensive Elixir,35,1
609,0,[Party] Elixir of Frenzy,1,false,307000,Consumables,Offensive Elixir,35,1
610,0,[Party] Elixir of Endless Frenzy,2,false,1060000,Consumables,Offensive Elixir,35,1
613,3390,[Party] Elixir of Draining,1,false,285000,Consumables,Offensive Elixir,35,1
614,0,[Party] Elixir of Strong Draining,2,false,430000,Consumables,Offensive Elixir,35,1
615,0,[Party] Elixir of Demihuman Hunt,1,false,63500,Consumables,Offensive Elixir,35,1
616,4421,[Party] Fierce Demihuman Hunting Elixir,2,false,233000,Consumables,Offensive Elixir,35,1
617,0,[Party] Elixir of Perforation,1,false,301000,Consumables,Offensive Elixir,35,1
618,0,[Party] Elixir of Brutal Perforation,2,false,459000,Consumables,Offensive Elixir,35,1
623,0,[Party] Elixir of Death,1,false,273000,Consumables,Offensive Elixir,35,1
624,0,[Party] Brutal Death Elixir,2,false,780000,Consumables,Offensive Elixir,35,1
625,0,[Party] Elixir of Wind,1,false,161000,Consumables,Offensive Elixir,35,1
626,0,[Party] Elixir of Flowing Wind,2,false,260000,Consumables,Offensive Elixir,35,1
627,0,[Party] Elixir of Swiftness,1,false,170000,Consumables,Offensive Elixir,35,1
628,0,[Party] Elixir of Intrepid Swiftness,2,false,233000,Consumables,Offensive Elixir,35,1
629,0,[Party] Elixir of Spells,1,false,23700,Consumables,Offensive Elixir,35,1
630,0,[Party] Elixir of Agile Spells,2,false,189000,Consumables,Offensive Elixir,35,1
633,0,[Party] Elixir of Assassination,1,false,340000,Consumables,Offensive Elixir,35,1
634,0,[Party] Elixir of Lethal Assassin,2,false,655000,Consumables,Offensive Elixir,35,1
635,0,[Party] Elixir of Detection,1,false,780000,Consumables,Offensive Elixir,35,1
636,0,[Party] Elixir of Sharp Detection,2,false,1390000,Consumables,Offensive Elixir,35,1
637,9737,[Party] Elixir of Concentration,1,false,70000,Consumables,Offensive Elixir,35,1
638,0,[Party] Elixir of Advanced Concentration,2,false,91500,Consumables,Offensive Elixir,35,1
641,0,[Party] Elixir of Fury,1,false,80500,Consumables,Offensive Elixir,35,1
642,0,[Party] Elixir of Endless Fury,2,false,134000,Consumables,Offensive Elixir,35,1
649,0,[Party] Grim Reaper's Elixir,1,false,356000,Consumables,Offensive Elixir,35,1
650,0,[Party] Grim Soul Reaper's Elixir,2,false,575000,Consumables,Offensive Elixir,35,1
655,0,[Party] Elixir of Carnage,1,false,361000,Consumables,Offensive Elixir,35,1
656,0,[Party] Elixir of Brutal Carnage,2,false,690000,Consumables,Offensive Elixir,35,1
657,0,[Party] Elixir of Sky,1,false,165000,Consumables,Offensive Elixir,35,1
658,0,[Party] Merciless Sky Elixir,2,false,745000,Consumables,Offensive Elixir,35,1
670,19767,Elixir of Human Hunt,1,false,13400,Consumables,Offensive Elixir,35,1
671,20005,Elixir of Perfect Human Hunt,2,false,185000,Consumables,Offensive Elixir,35,1
672,0,Elixir of Frenzy,1,false,280000,Consumables,Offensive Elixir,35,1
673,0,Elixir of Endless Frenzy,2,false,960000,Consumables,Offensive Elixir,35,1
676,18661,Elixir of Draining,1,false,172000,Consumables,Offensive Elixir,35,1
